sind,year,ss,seas,dps,tmax,tmin,frost,rain,sun
1991.167,1991,1,win,90,7.5,-0.1,28,250.0,1463
1991.417,1991,2,spr,92,12.6,5.0,0,153.2,406
1991.667,1991,3,sum,92,19.5,9.0,0,148.5,647
1991.917,1991,4,aut,91,18.2,5.4,0,297.6,1121
1992.167,1992,1,win,91,8.6,2.1,17,120.5,1341
1992.417,1992,2,spr,92,16.6,4.9,0,180.1,846
1992.667,1992,3,sum,92,17.8,11.0,0,258.9,654
1992.917,1992,4,aut,91,15.2,5.9,0,261.8,997
1993.167,1993,1,win,90,8.9,2.6,7,226.8,1249
1993.417,1993,2,spr,92,13.8,4.4,0,190.0,418
1993.667,1993,3,sum,92,16.6,10.6,0,312.4,684
1993.917,1993,4,aut,91,15.2,3.1,6,225.3,665
1994.167,1994,1,win,90,8.5,1.7,8,336.3,1264
1994.417,1994,2,spr,92,13.5,4.8,0,229.9,423
1994.667,1994,3,sum,92,18.8,9.9,0,162.8,727
1994.917,1994,4,aut,91,14.7,8.5,0,307.2,515
1995.167,1995,1,win,90,9.8,3.5,4,412.1,1184
1995.417,1995,2,spr,92,14.0,2.8,6,141.5,619
1995.667,1995,3,sum,92,22.4,10.6,0,58.1,1018
1995.917,1995,4,aut,91,15.9,5.8,0,281.0,724
1996.167,1996,1,win,91,6.9,1.1,30,236.0,933
1996.417,1996,2,spr,92,11.8,3.0,3,172.4,1015
1996.667,1996,3,sum,92,17.9,9.8,0,107.8,855
1996.917,1996,4,aut,91,17.0,5.1,0,238.2,1259
1997.167,1997,1,win,90,9.2,1.0,21,121.6,1570
1997.417,1997,2,spr,92,14.7,5.6,0,109.0,678
1997.667,1997,3,sum,92,20.2,10.5,0,289.6,542
1997.917,1997,4,aut,91,16.7,7.4,0,338.6,580
1998.167,1998,1,win,90,9.9,3.5,10,208.2,1413
1998.417,1998,2,spr,92,14.6,4.6,1,214.0,1034
1998.667,1998,3,sum,92,17.9,10.6,0,203.0,597
1998.917,1998,4,aut,91,17.0,5.6,0,318.4,1119
1999.167,1999,1,win,90,9.1,3.8,12,283.2,1265
1999.417,1999,2,spr,92,14.8,4.8,0,164.9,316
1999.667,1999,3,sum,92,19.7,10.0,0,200.8,827
1999.917,1999,4,aut,91,17.5,6.6,1,260.8,624
2000.167,2000,1,win,91,8.6,3.6,7,297.8,1367
2000.417,2000,2,spr,92,14.4,4.2,0,174.8,564
2000.667,2000,3,sum,92,18.5,10.7,0,188.4,783
2000.917,2000,4,aut,91,17.1,5.3,0,442.2,960
2001.167,2001,1,win,90,8.4,2.2,15,291.2,1484
2001.417,2001,2,spr,92,15.4,2.9,6,197.4,470
2001.667,2001,3,sum,92,17.9,10.2,0,224.2,640
2001.917,2001,4,aut,91,15.6,6.7,0,289.4,468
2002.167,2002,1,win,90,9.6,2.5,11,265.2,1441
2002.417,2002,2,spr,92,13.9,5.1,0,226.2,537
2002.667,2002,3,sum,92,17.4,10.1,0,152.8,248
2002.917,2002,4,aut,91,17.3,7.6,0,364.6,1163
2003.167,2003,1,win,90,8.2,2.3,16,170.0,956
2003.417,2003,2,spr,92,13.7,4.8,0,134.8,697
2003.667,2003,3,sum,92,19.7,11.1,0,144.0,674
2003.917,2003,4,aut,91,17.3,6.5,0,253.0,673
2004.167,2004,1,win,91,8.4,3.8,6,238.6,1414
2004.417,2004,2,spr,92,13.9,3.9,4,117.0,194
2004.667,2004,3,sum,92,19.1,11.5,0,232.7,569
2004.917,2004,4,aut,91,16.9,7.5,0,306.8,477
2005.167,2005,1,win,90,9.1,2.7,3,187.8,1341
2005.417,2005,2,spr,92,13.6,5.4,2,139.0,1003
2005.667,2005,3,sum,92,18.4,11.6,0,147.6,730
2005.917,2005,4,aut,91,17.4,4.8,1,380.8,1167
2006.167,2006,1,win,90,8.3,2.2,17,138.2,1460
2006.417,2006,2,spr,92,13.9,2.9,5,237.4,394
2006.667,2006,3,sum,92,21.2,11.3,0,119.8,722
2006.917,2006,4,aut,91,18.7,6.1,0,267.6,732
2007.167,2007,1,win,90,9.5,4.0,5,340.5,1378
2007.417,2007,2,spr,92,14.3,4.4,0,160.6,745
2007.667,2007,3,sum,92,17.0,11.6,0,306.7,556
2007.917,2007,4,aut,91,16.1,6.8,1,134.8,591
2008.167,2008,1,win,91,9.5,3.3,11,288.0,1014
2008.417,2008,2,spr,92,16.5,4.4,2,219.1,530
2008.667,2008,3,sum,92,17.9,10.1,0,247.7,1073
2008.917,2008,4,aut,91,15.9,6.3,1,306.5,576
2009.167,2009,1,win,90,7.4,1.4,22,204.2,1482
2009.417,2009,2,spr,92,14.3,4.2,1,165.6,605
2009.667,2009,3,sum,92,18.3,10.9,0,274.0,602
2009.917,2009,4,aut,91,15.9,6.6,0,309.0,1024
2010.167,2010,1,win,90,6.9,0.9,22,218.3,1022
2010.417,2010,2,spr,92,13.2,3.0,4,153.8,735
2010.667,2010,3,sum,92,18.1,10.6,0,179.6,522
2010.917,2010,4,aut,91,16.6,4.0,5,264.1,717
2011.167,2011,1,win,90,9.2,-0.1,27,166.6,1518
2011.417,2011,2,spr,92,15.0,3.5,5,87.8,809
2011.667,2011,3,sum,92,17.5,9.9,0,165.2,701
2011.917,2011,4,aut,91,17.0,8.1,0,213.4,1056
2012.167,2012,1,win,91,9.3,2.8,10,229.2,1265
2012.417,2012,2,spr,92,14.3,4.6,1,174.2,498
2012.667,2012,3,sum,92,18.4,10.6,0,324.4,308
2012.917,2012,4,aut,91,15.3,4.9,1,382.8,1114
